index,date,new_cases
1,2019-12-31,0
2,2020-01-01,0
3,2020-01-02,0
4,2020-01-03,0
5,2020-01-04,0
6,2020-01-05,0
7,2020-01-06,0
8,2020-01-07,0
9,2020-01-08,0
10,2020-01-09,0
11,2020-01-10,0
12,2020-01-11,0
13,2020-01-12,0
14,2020-01-13,0
15,2020-01-14,0
16,2020-01-15,1
17,2020-01-16,0
18,2020-01-17,0
19,2020-01-18,0
20,2020-01-19,0
21,2020-01-20,0
22,2020-01-21,0
23,2020-01-22,0
24,2020-01-23,0
25,2020-01-24,1
26,2020-01-25,0
27,2020-01-26,1
28,2020-01-27,0
29,2020-01-28,1
30,2020-01-29,3
31,2020-01-30,4
32,2020-01-31,3
33,2020-02-01,1
34,2020-02-02,4
35,2020-02-03,1
36,2020-02-04,0
37,2020-02-05,5
38,2020-02-06,0
39,2020-02-07,0
40,2020-02-08,0
41,2020-02-09,0
42,2020-02-10,0
43,2020-02-11,0
44,2020-02-12,0
45,2020-02-13,4
46,2020-02-14,1
47,2020-02-15,8
48,2020-02-16,14
49,2020-02-17,7
50,2020-02-18,0
51,2020-02-19,7
52,2020-02-20,18
53,2020-02-21,9
54,2020-02-22,12
55,2020-02-23,27
56,2020-02-24,12
57,2020-02-25,0
58,2020-02-26,20
59,2020-02-27,22
60,2020-02-28,24
61,2020-02-29,20
62,2020-03-01,9
63,2020-03-02,15
64,2020-03-03,0
65,2020-03-04,14
66,2020-03-05,49
67,2020-03-06,32
68,2020-03-07,59
69,2020-03-08,47
70,2020-03-09,33
71,2020-03-10,26
72,2020-03-11,54
73,2020-03-12,51
74,2020-03-13,56
75,2020-03-14,62
76,2020-03-15,43
77,2020-03-16,34
78,2020-03-17,10
79,2020-03-18,5
80,2020-03-19,44
81,2020-03-20,77
82,2020-03-21,57
83,2020-03-22,39
84,2020-03-23,43
85,2020-03-24,39
86,2020-03-25,65
87,2020-03-26,75
88,2020-03-27,96
89,2020-03-28,135
90,2020-03-29,194
91,2020-03-30,173
92,2020-03-31,87
93,2020-04-01,0
94,2020-04-02,225
95,2020-04-03,439
96,2020-04-04,318
97,2020-04-05,336
98,2020-04-06,383
99,2020-04-07,252
100,2020-04-08,351
101,2020-04-09,511
102,2020-04-10,579
103,2020-04-11,658
104,2020-04-12,743
105,2020-04-13,507
106,2020-04-14,390
107,2020-04-15,455
108,2020-04-16,482
109,2020-04-17,585
110,2020-04-18,628
111,2020-04-19,566
112,2020-04-20,390
113,2020-04-21,367
114,2020-04-22,378
115,2020-04-23,276
116,2020-04-24,468
117,2020-04-25,652
118,2020-04-26,290
119,2020-04-27,203
120,2020-04-28,191
121,2020-04-29,276
122,2020-04-30,236
123,2020-05-01,193
124,2020-05-02,263
125,2020-05-03,295
126,2020-05-04,218
127,2020-05-05,174
128,2020-05-06,123
129,2020-05-07,109
130,2020-05-08,84
131,2020-05-09,81
132,2020-05-10,119
133,2020-05-11,51
134,2020-05-12,76
135,2020-05-13,150
136,2020-05-14,55
137,2020-05-15,114
138,2020-05-16,44
139,2020-05-17,48
140,2020-05-18,20
141,2020-05-19,60
142,2020-05-20,20
143,2020-05-21,39
144,2020-05-22,89
145,2020-05-23,23
146,2020-05-24,14
147,2020-05-25,31
148,2020-05-26,42
149,2020-05-27,28
150,2020-05-28,0
151,2020-05-29,68
152,2020-05-30,85
153,2020-05-31,47
154,2020-06-01,33
155,2020-06-02,46
156,2020-06-03,56
157,2020-06-04,32
158,2020-06-05,46
159,2020-06-06,39
160,2020-06-07,38
161,2020-06-08,33
162,2020-06-09,36
163,2020-06-10,41
164,2020-06-11,41
165,2020-06-12,40
166,2020-06-13,50
167,2020-06-14,47
168,2020-06-15,73
169,2020-06-16,85
170,2020-06-17,41
171,2020-06-18,40
172,2020-06-19,72
173,2020-06-20,59
174,2020-06-21,0
175,2020-06-22,117
176,2020-06-23,52
177,2020-06-24,59
178,2020-06-25,83
179,2020-06-26,87
180,2020-06-27,100
181,2020-06-28,93
182,2020-06-29,86
183,2020-06-30,117
184,2020-07-01,130
185,2020-07-02,151
186,2020-07-03,194
187,2020-07-04,214
188,2020-07-05,240
189,2020-07-06,253
190,2020-07-07,206
191,2020-07-08,193
192,2020-07-09,197
193,2020-07-10,348
194,2020-07-11,410
195,2020-07-12,373
196,2020-07-13,366
197,2020-07-14,352
198,2020-07-15,288
199,2020-07-16,382
200,2020-07-17,583
201,2020-07-18,659
202,2020-07-19,510
203,2020-07-20,454
204,2020-07-21,640
205,2020-07-22,567
206,2020-07-23,726
207,2020-07-24,927
208,2020-07-25,830
209,2020-07-26,596
210,2020-07-27,607
211,2020-07-28,0
212,2020-07-29,1344
213,2020-07-30,1126
214,2020-07-31,1315
215,2020-08-01,598
216,2020-08-02,1709
217,2020-08-03,1991
218,2020-08-04,1786
219,2020-08-05,1271
220,2020-08-06,1134
221,2020-08-07,1552
222,2020-08-08,1624
223,2020-08-09,1344
224,2020-08-10,1207
225,2020-08-11,248
226,2020-08-12,1274
227,2020-08-13,932
228,2020-08-14,1069
229,2020-08-15,2064
230,2020-08-16,1137
231,2020-08-17,238
232,2020-08-18,1006
233,2020-08-19,1592
234,2020-08-20,951
235,2020-08-21,1220
236,2020-08-22,1012
237,2020-08-23,1014
238,2020-08-24,7
239,2020-08-25,1367
240,2020-08-26,701
241,2020-08-27,846
242,2020-08-28,905
243,2020-08-29,850
244,2020-08-30,841
245,2020-08-31,601
246,2020-09-01,527
247,2020-09-02,609
248,2020-09-03,598
249,2020-09-04,669
250,2020-09-05,608
251,2020-09-06,543
252,2020-09-07,437
253,2020-09-08,378
254,2020-09-09,492
255,2020-09-10,495
256,2020-09-11,680
257,2020-09-12,643
258,2020-09-13,674
259,2020-09-14,439
260,2020-09-15,301
261,2020-09-16,490
262,2020-09-17,561
263,2020-09-18,485
264,2020-09-19,579
265,2020-09-20,584
266,2020-09-21,0
267,2020-09-22,781
268,2020-09-23,330
269,2020-09-24,273
270,2020-09-25,456
271,2020-09-26,558
272,2020-09-27,635
273,2020-09-28,441
274,2020-09-29,363
275,2020-09-30,516
276,2020-10-01,0
277,2020-10-02,1205
278,2020-10-03,553
279,2020-10-04,571
280,2020-10-05,400
281,2020-10-06,308
282,2020-10-07,496
283,2020-10-08,477
284,2020-10-09,619
285,2020-10-10,594
286,2020-10-11,679
287,2020-10-12,435
288,2020-10-13,326
289,2020-10-14,467
290,2020-10-15,570
291,2020-10-16,721
292,2020-10-17,632
293,2020-10-18,593
294,2020-10-19,471
295,2020-10-20,353
296,2020-10-21,453
297,2020-10-22,591
298,2020-10-23,614
299,2020-10-24,697
300,2020-10-25,699
301,2020-10-26,540
302,2020-10-27,424
303,2020-10-28,618
304,2020-10-29,736
305,2020-10-30,770
306,2020-10-31,770
307,2020-11-01,754
308,2020-11-02,667
309,2020-11-03,468
310,2020-11-04,619
311,2020-11-05,938
312,2020-11-06,944
313,2020-11-07,1132
314,2020-11-08,1172
315,2020-11-09,998
316,2020-11-10,899
317,2020-11-11,1173
318,2020-11-12,1555
319,2020-11-13,1587
320,2020-11-14,1685
321,2020-11-15,1694
322,2020-11-16,0
323,2020-11-17,2649
324,2020-11-18,1489
325,2020-11-19,2151
326,2020-11-20,2301
327,2020-11-21,2398
328,2020-11-22,2514
329,2020-11-23,738
330,2020-11-24,3012
331,2020-11-25,1471